bin,effect,energy,value
1,shade,elec,-298
1,indirect,elec,-216
1,shade,gas,0
1,indirect,gas,0
2,shade,elec,-291
2,indirect,elec,-173
2,shade,gas,1
2,indirect,gas,1
3,shade,elec,-249
3,indirect,elec,-146
3,shade,gas,5
3,indirect,gas,2
4,shade,elec,-293
4,indirect,elec,-175
4,shade,gas,6
4,indirect,gas,2
5,shade,elec,-307
5,indirect,elec,-168
5,shade,gas,8
5,indirect,gas,3
6,shade,elec,-282
6,indirect,elec,-157
6,shade,gas,12
6,indirect,gas,5
7,shade,elec,-211
7,indirect,elec,-114
7,shade,gas,16
7,indirect,gas,6
8,shade,elec,-250
8,indirect,elec,-131
8,shade,gas,14
8,indirect,gas,6
9,shade,elec,-223
9,indirect,elec,-119
9,shade,gas,15
9,indirect,gas,7
10,shade,elec,-181
10,indirect,elec,-88
10,shade,gas,29
10,indirect,gas,11
11,shade,elec,-183
11,indirect,elec,-88
11,shade,gas,24
11,indirect,gas,10
12,shade,elec,-185
12,indirect,elec,-85
12,shade,gas,19
12,indirect,gas,9
13,shade,elec,-190
13,indirect,elec,-81
13,shade,gas,15
13,indirect,gas,8
14,shade,elec,-168
14,indirect,elec,-67
14,shade,gas,17
14,indirect,gas,9
15,shade,elec,-82
15,indirect,elec,-31
15,shade,gas,22
15,indirect,gas,11
